NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,59,9001,10.45,80,32,51,Semillero,En Pie,18S,598467,9111699,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,57,9010,6.899,65,32,51,Semillero,En Pie,18S,597028,9111851,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,20,9012,7.501,70,30,51,Semillero,En Pie,18S,596101,9114472,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,44,9053,6.429,60,35,51,Semillero,En Pie,18S,597522,9112752,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,23,9083,10.043,81,30,51,Semillero,En Pie,18S,596457,9114204,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,22,9104,6.251,70,25,51,Semillero,En Pie,18S,597777,9114307,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,35,9206,8.017,69,33,51,Semillero,En Pie,18S,595388,9113389,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,29,9221,6.669,62,34,51,Semillero,En Pie,18S,598702,9113817,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,30,9224,8.751,70,35,51,Semillero,En Pie,18S,597874,9113749,PC 08,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F0,3612,6.927,80,18,51,Aprovechable,En Pie,18S,601753,9115819,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F0,3613,4.312,65,20,51,Semillero,En Pie,18S,601772,9115850,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F0,3619,19.002,140,19,51,Aprovechable,En Pie,18S,602221,9115848,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F0,3620,11.205,80,25,51,Aprovechable,En Pie,18S,602236,9115847,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F0,3621,14.691,98,20,51,Aprovechable,En Pie,18S,602232,9115846,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F0,3625,6.908,95,15,51,Aprovechable,En Pie,18S,602497,9115808,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F0,3626,2.572,60,14,51,Semillero,En Pie,18S,602510,9115802,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,2216,12.016,110,16,51,Aprovechable,En Pie,18S,599339,9115782,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,2218,8.769,85,16,51,Aprovechable,En Pie,18S,599468,9115759,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,2219,7.241,70,26,51,Aprovechable,En Pie,18S,599572,9115822,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,2220,13.679,120,14,51,Aprovechable,En Pie,18S,599608,9115837,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,2227,17.007,140,14,51,Aprovechable,En Pie,18S,599716,9115777,PC 12,
Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,F1,2230,10.458,110,18,51,Aprovechable,En Pie,18S,599828,9115813,PC 12,
