x,y,feature_id,label,type
1030884.3042821907,8738209.031401815,239,huayruro,slide
1030909.5498952684,8738176.389241863,240,huayruro,slide
1030897.4867427537,8738168.585903753,241,huayruro,slide
1030847.906164382,8738150.48316004,242,huayruro,slide
1030854.1670738098,8738109.47575339,243,huayruro,slide
1030913.6160947948,8738051.04907579,244,huayruro,slide
1030798.1698104524,8737972.787876405,245,huayruro,slide
1030954.984392724,8738021.089220047,246,huayruro,slide
1031033.8823463138,8737980.683457173,247,huayruro,slide
1031104.6253361024,8738011.511805411,248,huayruro,slide
1031129.0794084964,8738029.151427936,249,huayruro,slide
1031168.8257209916,8738004.700896844,250,huayruro,slide
1031277.6004800944,8738048.975769525,251,huayruro,slide
1031304.4525532651,8738071.046848372,252,huayruro,slide
1031343.1363604112,8738105.59876004,253,huayruro,slide
1031333.7610285536,8738136.505825017,254,huayruro,slide
1031310.2957329848,8738140.817311648,255,huayruro,slide
1025273.2097376136,8736098.972628675,256,huayruro,slide
1025278.1468794736,8736074.536188077,257,huayruro,slide
1025283.3468794737,8736069.336188078,258,huayruro,slide
1025238.8775458516,8736039.410828322,259,huayruro,slide
1025260.7989181553,8736007.382284261,260,huayruro,slide
1025320.8823391536,8735987.04236971,261,huayruro,slide
1025268.8253908076,8735952.59954273,262,huayruro,slide
1025402.5754212036,8736024.101727234,263,huayruro,slide
1025507.0305543328,8736066.216846561,264,huayruro,slide
1025480.7334738112,8735974.182472812,265,huayruro,slide
1025499.2495166432,8735963.524237502,266,huayruro,slide
1025509.5142939608,8735999.884797333,267,huayruro,slide
1025524.9240592244,8735974.754843334,268,huayruro,slide
1025575.2184811442,8735968.618803214,269,huayruro,slide
1025575.2184811442,8735973.818803214,270,huayruro,slide
1025596.2506370024,8735984.968324915,271,huayruro,slide
1025629.887433301,8736033.986730354,272,huayruro,slide
1025662.223085122,8736034.880316215,273,huayruro,slide
1025640.7517462012,8735901.455990443,274,huayruro,slide
1025632.2561721002,8735923.821224306,275,huayruro,slide
1025646.310706392,8735820.946663907,276,huayruro,slide
1025652.1775993952,8735848.31737908,277,huayruro,slide
1025516.5108426393,8735825.014679212,278,huayruro,slide
1025459.6754120884,8735826.511538772,279,huayruro,slide
1025415.4311297336,8735947.275014332,280,huayruro,slide
1025384.3836484696,8735984.261608424,281,huayruro,slide
1025339.9288156392,8735887.27213364,282,huayruro,slide
1025444.2100633972,8735778.712101536,283,huayruro,slide
1025421.80398054,8735706.809022091,284,huayruro,slide
1025508.133054486,8735764.929986982,285,huayruro,slide
1025596.6128907172,8735687.879650304,286,huayruro,slide
1025594.3530026686,8735705.229021303,287,huayruro,slide
1025563.1715263925,8735687.696824478,288,huayruro,slide
1025515.1977724702,8735648.855767928,289,huayruro,slide
1025486.1784155448,8735702.427313961,290,huayruro,slide
1025475.6055730056,8735709.609522069,291,huayruro,slide
1025645.6911855692,8735715.487595577,292,huayruro,slide
1025689.3854707936,8735704.301643178,293,huayruro,slide
1025720.0869731528,8735713.02702238,294,huayruro,slide
1025827.3265215172,8735839.7500263,295,huayruro,slide
1025805.9185111944,8736048.179456461,296,huayruro,slide
1025761.5791136788,8735849.258259568,297,huayruro,slide
1025767.1788842086,8735960.352821102,298,huayruro,slide
1025901.7631263578,8736038.439608555,299,huayruro,slide
1025914.8792549428,8736040.046419254,300,huayruro,slide
1026018.8378178336,8735798.336782802,301,huayruro,slide
1026038.1988267872,8735581.243080605,302,huayruro,slide
1025994.550596731,8735529.200088112,303,huayruro,slide
1025891.001717264,8735447.830274478,304,huayruro,slide
1025822.0373201484,8735584.04538268,305,huayruro,slide
1025844.6545382496,8735587.329240141,306,huayruro,slide
1025692.1335315404,8735536.773181273,307,huayruro,slide
1025697.92896228,8735605.392240616,308,huayruro,slide
1025746.4432399106,8735674.310069615,309,huayruro,slide
1025562.4936886948,8735575.290367197,310,huayruro,slide
1025458.0971158752,8735557.70244491,311,huayruro,slide
1025450.27280042,8735541.695525888,312,huayruro,slide
1025392.7779658512,8735552.243310712,313,huayruro,slide
1025403.503354194,8735550.919382524,314,huayruro,slide
1025346.9310598442,8735543.398175249,315,huayruro,slide
1025315.5282007788,8735510.73895876,316,huayruro,slide
1025386.4997348224,8735476.875722595,317,huayruro,slide
1025297.6145823688,8735665.843649153,318,huayruro,slide
1025251.7155498504,8735608.139586762,319,huayruro,slide
1025229.5680418104,8735655.764252957,320,huayruro,slide
1025239.2042532328,8735665.439416874,321,huayruro,slide
1025285.0281029852,8735801.969349071,322,huayruro,slide
1025427.8532097916,8735935.44406412,323,huayruro,slide
1025415.7476800455,8735847.652555306,324,huayruro,slide
1025942.7612170904,8735556.286348304,325,huayruro,slide
1025800.145657966,8735536.498087283,326,huayruro,slide
1025886.9334333796,8735880.688807152,327,huayruro,slide
1025675.0085676408,8735943.315359455,328,huayruro,slide
1025648.8856682436,8735994.492846165,329,huayruro,slide
1024375.59590755,8737483.020036766,330,cumala,slide
1023912.5282623871,8737497.139178112,331,cumala,slide
1023971.7376701726,8737511.339746032,332,cumala,slide
1023983.524483074,8737476.009617165,333,cumala,slide
1024023.003552198,8737487.729031548,334,cumala,slide
1024061.8471360314,8737509.1686534,335,cumala,slide
1024133.5350556716,8737500.432877082,336,cumala,slide
1024174.3744912628,8737502.164671041,337,cumala,slide
1024120.2833724451,8737482.174973916,338,cumala,slide
1024246.036016435,8737468.647609398,339,cumala,slide
1024128.3066746638,8737464.59768429,340,cumala,slide
1024147.6657460392,8737478.468187679,341,cumala,slide
1024036.4973341716,8737389.47646234,342,cumala,slide
1023972.0834549608,8737359.81883888,343,cumala,slide
1023990.0211943224,8737357.55790295,344,cumala,slide
1024001.9353666191,8737301.99180744,345,cumala,slide
1024224.2526039866,8737302.84376914,346,cumala,slide
1024364.148842533,8737357.15668275,347,cumala,slide
1024268.4018340243,8737305.003710426,348,cumala,slide
1024462.7228091736,8737087.141020387,349,cumala,slide
1024268.653039523,8737038.739395604,350,cumala,slide
1024167.9634947293,8737109.115189403,351,cumala,slide
1023971.2952216128,8737191.69951893,352,cumala,slide
1023809.5580549134,8737105.768167697,353,cumala,slide
1023828.8994556728,8737106.213325229,354,cumala,slide
1023797.4222155132,8737311.32429406,355,cumala,slide
1023918.6929314332,8737389.259738103,356,cumala,slide
1024056.5089431223,8737021.26019642,357,cumala,slide
1024100.8116882144,8737145.405250762,358,cumala,slide
1024125.1792177256,8737099.957768258,359,cumala,slide
1024112.0519855784,8737218.185231525,360,cumala,slide
1023885.1336680752,8737335.473763566,361,cumala,slide
1023954.2991437978,8737573.345651554,362,cumala,slide
1024206.0676781352,8737519.48701998,363,cumala,slide
1023988.8671501856,8737159.612617867,364,cumala,slide
1024088.9972086704,8737196.396699594,365,cumala,slide
1024048.6312808036,8737187.690018693,366,cumala,slide
1024161.725076488,8737379.838550128,367,cumala,slide
1024340.4360646476,8737198.249313533,368,cumala,slide
1024535.2054249264,8737226.49578695,369,cumala,slide
1024440.7996791856,8737360.180848872,370,cumala,slide
1035656.0000710548,8776424.502798866,371,catahua,slide
1035348.8177757546,8776066.143870058,372,catahua,slide
1035348.8177757546,8776060.943870058,373,catahua,slide
1036590.2654597145,8775223.77011808,374,copaiba,slide
1036566.0964256932,8775029.903412534,375,copaiba,slide
1036649.8515795524,8777604.873129707,376,catahua,slide
1030406.7820657796,8745367.681622744,377,lupuna,slide
1030262.1318039394,8745423.493355654,378,lupuna,slide
651131.2646316049,8970087.528761081,379,mashonaste,center
651362.7273509307,8970090.364243122,380,mashonaste,center
651391.7679620963,8970090.674752612,381,mashonaste,center
651448.7230153712,8970130.96611717,382,mashonaste,center
651474.5246712725,8970082.956528408,383,mashonaste,center
651447.2084778738,8969981.157669857,384,mashonaste,center
651431.4151723218,8969973.066792272,385,mashonaste,center
651397.1449331419,8969961.35911564,386,mashonaste,center
651399.6923282064,8970022.03145178,387,mashonaste,center
651367.642484495,8969883.587610116,388,mashonaste,slide
651052.2432789007,8970028.772982577,389,mashonaste,slide
651067.8684655256,8970048.203425253,390,mashonaste,center
651086.1987557773,8970148.919914082,391,mashonaste,slide
651217.4346039485,8970158.96773659,392,mashonaste,center
653216.2458114751,8969714.232862925,393,mashonaste,slide
652976.2805258469,8969782.438724954,394,mashonaste,center
653101.658400807,8968964.215503385,395,lupuna,center
652865.4591165367,8968958.615018163,396,lupuna,center
652796.9914030739,8968901.337767124,397,lupuna,center
652753.7083169768,8968886.562326077,398,lupuna,center
652706.0717848593,8968812.787912779,399,lupuna,slide
652712.5099667409,8968783.053822072,400,lupuna,slide
652774.300134454,8968725.634435026,401,lupuna,center
653059.6053651399,8968792.60659088,402,lupuna,center
656052.2090681405,8954430.40882661,403,shihuahuaco,center
654931.4818375503,8955837.341290869,404,shihuahuaco,slide
654987.5383211285,8955851.466292046,405,shihuahuaco,slide
655081.839073226,8955844.39858566,406,shihuahuaco,slide
654844.8806786799,8955883.323370703,407,shihuahuaco,slide
654853.9217559985,8955876.659233967,408,shihuahuaco,slide
654851.8364317723,8955960.755953226,409,shihuahuaco,slide
654891.9908696581,8956010.232838992,410,shihuahuaco,slide
655072.0277916606,8955932.560686052,411,shihuahuaco,slide
655155.6776234433,8955987.113746898,412,shihuahuaco,slide
655195.7674897147,8955944.229231944,413,shihuahuaco,center
655198.2017364217,8955943.241127852,414,shihuahuaco,center
655198.2017364213,8955943.241127852,415,shihuahuaco,center
654505.0632614284,8956102.11202189,416,mashonaste,center
654357.5894300805,8956172.036783934,417,mashonaste,center
654534.9217418199,8956152.319280982,418,mashonaste,center
654503.9977238658,8956157.931144472,419,mashonaste,center
654508.4622186327,8956216.04622185,420,mashonaste,center
654431.3054960421,8956246.973296914,421,mashonaste,center
654434.9948389782,8956280.697521795,422,mashonaste,center
654483.4132074753,8956304.61950151,423,mashonaste,center
654479.9054462427,8956347.784058556,424,mashonaste,center
654482.2386132092,8956342.584058557,425,mashonaste,center
654288.511754971,8956366.027705539,426,mashonaste,center
646634.8373067008,8876394.65585357,427,shihuahuaco,center
647063.4217949639,8876523.446682062,428,shihuahuaco,slide
646872.2880760399,8876405.562329108,429,shihuahuaco,center
646341.3840464526,8876668.93296099,430,shihuahuaco,center
646437.8118794519,8876706.79151935,432,shihuahuaco,center
646879.5264075269,8876303.423176154,433,shihuahuaco,center
646495.1252562976,8876374.801091513,434,shihuahuaco,center
646544.198480372,8876294.816679752,435,shihuahuaco,slide
646856.7435299126,8876589.544333326,436,shihuahuaco,center
