id,label,x,y,final_status
1050,estoraque,582453.9330131806,9140394.226779133,center
966,catahua,591394.4891663004,9146151.406910585,center
990,catahua,591357.4795465878,9146213.295330364,failed
1098,catahua,591324.010349649,9146141.613673525,failed
1101,catahua,591350.3249764565,9145972.89979623,center
1102,catahua,591358.6249289645,9146136.406221205,center
1103,catahua,591373.4891591705,9146152.385708908,center
1104,catahua,591377.2468729268,9146192.256434152,failed
1105,catahua,591335.6935220682,9146268.498852927,center
1106,catahua,591361.1450406464,9146295.000038493,center
1107,catahua,591395.0650890545,9146308.81624079,center
1112,shihuahuaco,591728.1509613696,9145815.50312634,failed
1113,catahua,591728.9442131394,9146013.751038993,failed
1145,catahua,591534.1509187922,9145986.40966912,failed
1146,catahua,591560.9757557125,9146240.503231272,center
986,ana caspi,591555.815465873,9144614.987753836,failed
987,ana caspi,591561.3391003977,9144724.914552344,failed
988,ana caspi,591497.2206230611,9144604.097817589,failed
1109,azãºcar huayo,591776.8697915209,9144847.871788403,failed
1143,ana caspi,591578.6205718846,9144549.468477119,failed
1176,ana caspi,591487.1457181188,9144449.664164346,failed
1177,ana caspi,591710.7284759182,9144505.232965346,failed
982,lupuna,582005.0233556762,9141522.300358443,failed
983,lupuna,582001.2866537459,9141126.539302256,failed
1005,lupuna,582490.703156193,9141519.424934952,failed
1008,lupuna,582272.287285944,9141414.476447318,failed
984,lupuna,582002.5658144613,9140837.47600494,failed
1006,lupuna,582453.3145980482,9140925.511649031,failed
1010,lupuna,582077.1610147923,9140722.478282478,failed
1053,lupuna,582346.8759754867,9140733.20752,failed
1137,lupuna,581908.23930845,9140889.068517324,failed
955,shihuahuaco,591498.1418861926,9145736.420200186,failed
1032,shihuahuaco,591463.2795108903,9145488.166510783,failed
1097,shihuahuaco,591265.1475875253,9145388.5151506,failed
1100,shihuahuaco,591371.81626354,9145336.948287664,failed
1111,shihuahuaco,591748.74378534,9145438.852858623,failed
1115,shihuahuaco,591802.3276903104,9145604.925577143,failed
1178,shihuahuaco,591837.6677477408,9145714.77416702,failed
954,copaiba,594091.4325872209,9145574.08367483,center
1059,copaiba,594215.0013507389,9145771.681696111,failed
1076,copaiba,594338.2900856078,9145416.333975587,center
1091,copaiba,593953.1573524004,9145451.09253701,failed
1116,copaiba,593805.1354546909,9145795.093300268,failed
1118,copaiba,593851.9784291359,9145504.09534583,center
1119,copaiba,593842.050000926,9145621.528061952,center
1120,copaiba,594151.6256965947,9145377.053269207,center
1121,copaiba,594145.8362186602,9145648.280518329,center
1148,copaiba,594247.376938621,9145819.182542501,center
1149,copaiba,594225.8542246891,9145850.71624813,failed
1151,copaiba,594305.4428496073,9145775.052820709,failed
1155,copaiba,594092.9964014813,9145627.889294723,center
985,copaiba,581979.8956616312,9139652.79887173,failed
1003,guacamayo caspi,582192.2969504003,9139812.005731003,failed
1132,guacamayo caspi,581729.072690588,9140025.761389254,center
1139,guacamayo caspi,582178.8320325685,9139859.980335323,failed
953,cedro,592565.2307524167,9144859.678422714,failed
956,azãºcar huayo,592146.1534040129,9144877.170149663,failed
957,azãºcar huayo,592201.5360316883,9144955.200970486,failed
958,azãºcar huayo,592216.1208372473,9144876.652803706,failed
960,cedro,592497.7347915601,9144733.042234084,center
961,cedro,592457.664450789,9144674.499040803,center
1081,azãºcar huayo,592163.1782721005,9144811.66036194,failed
1082,azãºcar huayo,592193.3359206397,9145051.351184726,failed
1083,cedro,592458.107333488,9144694.532617567,center
1084,cedro,592481.4994241135,9144700.112637216,failed
978,ana caspi,581907.1942169552,9142256.196387224,failed
981,ana caspi,581659.4178982993,9142371.277092395,failed
1037,ana caspi,581537.8916014311,9142382.049455568,failed
1067,ana caspi,581803.0652998433,9142466.818498308,failed
1156,ana caspi,581531.9926813074,9142553.05411755,failed
1157,ana caspi,581864.0858628129,9142577.088750271,failed
1158,ana caspi,581947.2443341418,9142179.93441593,failed
1159,ana caspi,581813.6991380169,9142251.83068947,center
1160,ana caspi,581730.3191775414,9142344.378236368,failed
1161,ana caspi,581731.2894335919,9142493.911494857,failed
1162,ana caspi,581741.8505752478,9142463.568062404,failed
1163,ana caspi,581979.9893958307,9142094.47964684,failed
1164,ana caspi,581881.7954634362,9142311.832144363,failed
1165,ana caspi,581697.163836953,9142025.813181236,failed
1166,ana caspi,581752.7555155158,9142025.63670828,failed
1014,ishpingo,593021.2362366499,9144910.705646012,failed
1078,ishpingo,593088.0080795966,9145083.920930322,failed
1079,ishpingo,593071.3116196963,9145123.947707534,failed
1153,copaiba,593063.0211469185,9144870.913904348,center
1154,ishpingo,593097.4064515083,9144996.053412683,failed
1040,ana caspi,581681.5211627992,9141984.416419249,failed
1045,guacamayo caspi,582001.3673225485,9141863.902960472,center
1125,guacamayo caspi,581823.3774119344,9141857.101383872,center
1126,guacamayo caspi,581877.4026140342,9141910.487995837,center
1129,tahuari,581625.1493284679,9141542.068614328,failed
1130,guacamayo caspi,581548.7484434481,9141801.63485216,center
1136,guacamayo caspi,581645.6743261912,9141764.076856354,center
1138,guacamayo caspi,581945.058124435,9141850.7317657,center
976,catuaba,581462.2080479333,9140584.800587852,failed
1127,catuaba,581602.6739857907,9140442.38926829,failed
1128,catuaba,581587.547423877,9140479.91673538,failed
1133,catuaba,581740.7700162368,9140616.48905787,failed
977,shihuahuaco,583398.1246111934,9141228.162563518,failed
979,shihuahuaco,583593.2183743041,9140806.03499665,failed
994,shihuahuaco,583531.1413504657,9141331.355762593,failed
995,shihuahuaco,583617.0701745313,9141158.235142274,center
997,shihuahuaco,583781.8515117376,9140928.173478737,failed
1028,shihuahuaco,583798.9779980528,9140944.34888355,failed
1030,shihuahuaco,583841.1659711017,9140963.468578737,failed
1031,shihuahuaco,583676.4837169442,9141086.945770504,failed
1041,shihuahuaco,583316.2209307554,9141012.503664378,failed
1042,shihuahuaco,583632.6011554644,9140965.464885667,center
1044,shihuahuaco,583845.3741954174,9141064.447653495,center
1066,shihuahuaco,583611.7259166213,9141015.291422728,failed
1068,shihuahuaco,583674.5815005831,9141370.858166618,failed
1131,shihuahuaco,583548.9090885316,9140906.31982204,failed
1135,shihuahuaco,583861.2528651512,9140859.742923444,failed
1167,shihuahuaco,583409.8415217204,9141260.094857998,failed
1168,shihuahuaco,583355.5041280973,9141254.89387209,failed
1169,shihuahuaco,583755.9199240599,9141106.4664762,failed
1170,shihuahuaco,583845.2651137307,9140875.817597086,failed
969,azãºcar huayo,591721.3697824127,9145044.140346808,failed
970,azãºcar huayo,591818.0585181869,9144904.677173616,failed
971,azãºcar huayo,591886.5963534409,9145128.252287166,failed
1061,azãºcar huayo,591968.1713599941,9144979.32562116,failed
1110,azãºcar huayo,591776.2674226572,9144928.636420809,failed
1144,azãºcar huayo,591627.8963701811,9145127.529306076,failed
1147,azãºcar huayo,592060.8124014528,9144946.963856148,failed
972,catuaba,594648.9211090042,9145829.145182913,failed
