,NOMBRE_CIENTIFICO,NOMBRE_COMUN,NOMBRE_CIENTIFICO_RESOLUCION_POA,NOMBRE_COMUN_RESOLUCION_POA,BLOQUE,FAJA,CODIGO_ESPECIE,VOLUMEN_ESPECIE,DAP,AC,DMC,CONDICION,ESTADO,ZONA_UTM,COORDENADA_ESTE,COORDENADA_NORTE,PCA,OBSERVACION
14845,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,56,4627,8.966,68,38,51,Semillero,En Pie,18S,596604,9111980,PC 08,
14846,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,56,4630,5.552,80,17,51,Aprovechable,En Pie,18S,597044,9111932,PC 08,
14847,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,56,4635,6.531,80,20,51,Aprovechable,En Pie,18S,597440,9111941,PC 08,
14848,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,56,4637,9.001,105,16,51,Aprovechable,En Pie,18S,597701,9111976,PC 08,
14849,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,56,4639,4.898,80,15,51,Aprovechable,En Pie,18S,597776,9111944,PC 08,
14850,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,75,4656,3.665,67,16,51,Aprovechable,En Pie,18S,597651,9110644,PC 08,
14851,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,75,4662,10.496,110,17,51,Aprovechable,En Pie,18S,597283,9110630,PC 08,
14852,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,75,4663,5.921,56,37,51,Semillero,En Pie,18S,597238,9110605,PC 08,
14853,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,75,4666,13.96,120,19,51,Aprovechable,En Pie,18S,596856,9110655,PC 08,
14854,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,75,4673,5.833,82,17,51,Aprovechable,En Pie,18S,596466,9110611,PC 08,
14855,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,74,4678,4.018,75,14,51,Aprovechable,En Pie,18S,596034,9110655,PC 08,
14856,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,74,4680,7.453,62,38,51,Semillero,En Pie,18S,596165,9110698,PC 08,
14857,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,74,4697,5.493,58,32,51,Semillero,En Pie,18S,597640,9110677,PC 08,
14858,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,74,4699,10.082,97,21,51,Aprovechable,En Pie,18S,597666,9110659,PC 08,
14859,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,19,4705,3.674,60,20,51,Aprovechable,En Pie,18S,596025,9114526,PC 08,
14860,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,19,4710,5.511,60,30,51,Semillero,En Pie,18S,596251,9114511,PC 08,
14861,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,19,4719,5.25,70,21,51,Aprovechable,En Pie,18S,597636,9114504,PC 08,
14862,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,19,4723,3.674,60,20,51,Semillero,En Pie,18S,597844,9114509,PC 08,
14863,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,19,4727,8.266,90,20,51,Aprovechable,En Pie,18S,598351,9114513,PC 08,
14864,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,54,4744,31.35,160,24,51,Aprovechable,En Pie,18S,598335,9112065,PC 08,
14865,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,54,4758,12.965,110,21,51,Aprovechable,En Pie,18S,597303,9112065,PC 08,
14866,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,54,4765,18.369,120,25,51,Aprovechable,En Pie,18S,596713,9112074,PC 08,
14867,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,54,4767,10.131,95,22,51,Aprovechable,En Pie,18S,596666,9112053,PC 08,
14868,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,54,4773,13.583,110,22,51,Aprovechable,En Pie,18S,596533,9112051,PC 08,
14869,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,54,4775,25.002,140,25,51,Aprovechable,En Pie,18S,596410,9112060,PC 08,
14870,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,55,4778,11.226,100,22,51,Aprovechable,En Pie,18S,596152,9111986,PC 08,
14871,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,55,4789,8.266,90,20,51,Aprovechable,En Pie,18S,596601,9112002,PC 08,
14872,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,55,4794,3.674,60,20,51,Aprovechable,En Pie,18S,596867,9111987,PC 08,
14873,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,60,4820,9.878,110,16,51,Aprovechable,En Pie,18S,597578,9111661,PC 08,
14874,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,60,4823,3.63,77,12,51,Aprovechable,En Pie,18S,597395,9111621,PC 08,
14875,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,60,4837,5.511,60,30,51,Semillero,En Pie,18S,596774,9111622,PC 08,
14876,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,60,4845,5.373,90,13,51,Aprovechable,En Pie,18S,596190,9111664,PC 08,
14877,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,61,4848,8.674,100,17,51,Aprovechable,En Pie,18S,596076,9111560,PC 08,
14878,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,61,4851,7.061,93,16,51,Aprovechable,En Pie,18S,596323,9111594,PC 08,
14879,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,61,4862,8.674,100,17,51,Aprovechable,En Pie,18S,597590,9111594,PC 08,
14880,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,61,4864,6.322,88,16,51,Aprovechable,En Pie,18S,597753,9111576,PC 08,
14881,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,61,4866,4.0,70,16,51,Aprovechable,En Pie,18S,597894,9111602,PC 08,
14882,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,61,4867,7.026,90,17,51,Aprovechable,En Pie,18S,597924,9111602,PC 08,
14883,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,77,4885,6.008,58,35,51,Semillero,En Pie,18S,597885,9110488,PC 08,
14884,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,77,4891,4.96,90,12,51,Aprovechable,En Pie,18S,597516,9110467,PC 08,
14885,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,55,4907,6.027,75,21,51,Aprovechable,En Pie,18S,597974,9112003,PC 08,
14886,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,67,4917,15.43,120,21,51,Aprovechable,En Pie,18S,598743,9111129,PC 08,
14887,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,67,4922,11.736,100,23,51,Aprovechable,En Pie,18S,598188,9111156,PC 08,
14888,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,67,4934,3.857,60,21,51,Aprovechable,En Pie,18S,597512,9111190,PC 08,
14889,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,67,4935,4.592,60,25,51,Aprovechable,En Pie,18S,597491,9111194,PC 08,
14890,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,67,4940,4.527,65,21,51,Aprovechable,En Pie,18S,597301,9111152,PC 08,
14891,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,67,4949,16.165,120,22,51,Aprovechable,En Pie,18S,596674,9111156,PC 08,
14892,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,67,4953,6.027,75,21,51,Aprovechable,En Pie,18S,596351,9111167,PC 08,
14893,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,67,4954,8.11,85,22,51,Aprovechable,En Pie,18S,596392,9111158,PC 08,
14894,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,66,4972,12.348,110,20,51,Aprovechable,En Pie,18S,596307,9111209,PC 08,
14895,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,66,4973,6.858,80,21,51,Aprovechable,En Pie,18S,596324,9111212,PC 08,
14896,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,66,4977,31.35,160,24,51,Aprovechable,En Pie,18S,596634,9111237,PC 08,
14897,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,66,4979,5.0,70,20,51,Aprovechable,En Pie,18S,596774,9111250,PC 08,
14898,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,66,4996,5.25,70,21,51,Aprovechable,En Pie,18S,597946,9111232,PC 08,
14899,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,66,4997,5.0,70,20,51,Aprovechable,En Pie,18S,598189,9111268,PC 08,
14900,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,53,5032,4.743,65,22,51,Semillero,En Pie,18S,596482,9112110,PC 08,
14901,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,52,5040,4.312,65,20,51,Aprovechable,En Pie,18S,596042,9112229,PC 08,
14902,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,52,5044,3.674,60,20,51,Aprovechable,En Pie,18S,596211,9112218,PC 08,
14903,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,52,5049,6.027,75,21,51,Aprovechable,En Pie,18S,596302,9112213,PC 08,
14904,Dipteryx micrantha , Shihuahuaco,Dipteryx micrantha , Shihuahuaco, ,52,5066,18.369,120,25,51,Aprovechable,En Pie,18S,597004,9112187,PC 08,
